newsletter,wine_name,vendor_description,score,review,price
November 2017 Newsletter,"Patria ""Oakville Ranch"" Napa Valley Cabernet Sauvignon 2015","This new project from Tony Biagi, former winemaker of Plumpjack, comes from Oakville Ranch, located near Dalle Valle and Ovid. Only a few cases available.",['94-96'],"(12/30/2016) ""There are three cuvées in 2015, starting with the 225- case cuvée of the 2015 Oakville Ranch Cabernet Sauvignon, which has an opaque purple color, a knockout nose of black fruits, creosote, burning embers and white flowers. It is a blend of 80% Cabernet Sauvignon and the rest I believe Petit Verdot and Cabernet Franc. This is a stunner and certainly a richer, more substantial and potentially more complex wine than even the 2014. Drink now-2028.""",85.99
November 2017 Newsletter,Billecart-Salmon Brut Rose Champagne NV,,['93'],"(11/15/2016) ""A lovely rosé in an almost vinous style, with mouthwatering acidity and a fine, lacy mousse carrying appealing flavors of ripe raspberry, white cherry fruit, star anise, mandarin orange peel and honeysuckle. Lightly chalky on the lasting finish. Enjoy with food. Drink now through 2020.""",Unlisted
November 2017 Newsletter,"Bogle ""Phantom"" Red 2014 3.0 LT",,['90'],"(9/27/2017) ""Violet color. Fruity aromas and flavors of chocolate raisins, butter-roasted nuts, hint of crispy bacon, and delicate spices and cola with a silky, bright, dry-yet-fruity medium body and a smooth, medium-long cherry gastrique and sesame seeds finish with silky, dusty tannins and light oak. A tasty and well-balanced red that is sure to please.""",68.99
November 2017 Newsletter,Darioush Napa Valley Cabernet Franc 2014,,['92'],"(11/2017) We've always loved the Darioush Cabernet Sauvignon. This is the first time we've featured their Cab Franc, and we think you're going to love it! As you'd expect from Darioush, it is big and bold, with great complexity. Dense and layered, the palate is oozing with black and blue fruits. Black currant, blueberry, smoke, bramble, tobacco and vanilla all come through, with the experience culminating in a long chocolatey finish. Good stuff here.",Unlisted
November 2017 Newsletter,Beaux Freres Willamette Valley Pinot Noir 2015,,['92'],"(7/2017) ""Rich and open-knit, yet well-structured, with expressive violet and blueberry aromas and layered dark plum, black tea and spice flavors. Drink now through 2024.""",49.99
November 2017 Newsletter,Col Solare Red Mountain Proprietary Red 2013,,"['94', '94']","(6/29/2016) ""Coming from the Col Solare and Quintessence vineyards on Red Mountain, the 2013 Proprietary Red is a rich, fabulously textured, full-bodied effort the has tons of black cherry and cassis fruits intermixed with notes of licorice, smoked herbs, graphite and lead pencil aromas and flavors. Made from a blend of 88% Cabernet Sauvignon, 6% Cabernet Franc, 4% Merlot and 2% Malbec that spent 22 months in 100% new French oak, drink this pure, layered and polished Red Mountain Bordeaux blend over the coming 15-20 years.""",48.99
November 2017 Newsletter,Antica Napa Valley Cabernet Sauvignon 2013,,"['93', '94', '94', '94']","(12/30/2015) ""A beautifully elegant, stylish Cabernet Sauvignon from the Antinori outpost in Napa Valley, their 2013 has a dense ruby/ purple color, a beautiful, sweet kiss of pure blackcurrant fruit, licorice and forest floor. Full-bodied, but with creamy texture, sweet, beautifully integrated acidity, tannin and alcohol, this is an impressively well-crafted wine that's drinkable now, but should evolve nicely for another 15-20 years. Drink Date 2016 - 2036.""",Unlisted
November 2017 Newsletter,"Prisoner Wine Company ""The Prisoner"" Napa Valley Red Blend 2016","The latest vintage of Prisoner has just been released! Dense and rich, it offers plenty of concentration with fruit-forward flavors that scream Napa Valley. The oak is well integrated as are the jammy notes. Full-bodied yet light and playful, it has the unctuous profile that has made this wine such a legend!",[],"(12/30/2015) ""A beautifully elegant, stylish Cabernet Sauvignon from the Antinori outpost in Napa Valley, their 2013 has a dense ruby/ purple color, a beautiful, sweet kiss of pure blackcurrant fruit, licorice and forest floor. Full-bodied, but with creamy texture, sweet, beautifully integrated acidity, tannin and alcohol, this is an impressively well-crafted wine that's drinkable now, but should evolve nicely for another 15-20 years. Drink Date 2016 - 2036.""",39.99
November 2017 Newsletter,"Herencia Altes ""La Serra Negre"" Terra Alta Carinyena/Garnatxa Negra 2015","Only a few cases available of this tiny-production, single-vineyard gem...",['93'],"(10/28/2016) ""The 2015 La Serra Negre is a blend of old-vine Cariñena with 20% Garnacha from a single vineyard that names the wine. I see a lot less oak here, and the wines are showing better balance, more purity and letting the terroir shine through. This is a great Cariñena with the floral and tree bark notes, both earthy and ethereal. The palate shows some grainy, chalky tannins that provide a very tasty, almost salty finish. 2,000 bottles produced.""",34.99
November 2017 Newsletter,Domaine de la Cote Sta Rita Hills Estate Pinot Noir 2014,A highly rated California Pinot Noir from a rockstar winemaking team at a blow-out price!,"['97', '93']","(9/2017) If you love elegant, complex, skillfully crafted Pinot Noir - and who doesn't? - this beauty from superstars Raj Parr and Sashi Moorman should not be missed. Showing a pale ruby color with streaks of light purplish pink, this bottling has textbook Pinot Noir aesthetics. On the nose, it is immediately and delightfully recognizable as classic Pinot. There is an old world, Burgundy-like quality to the flavors, including forward and delicious red fruits along with variations of earth and rocky minerality. Medium in body and offering tremendous depth, this refined bottle of California Pinot Noir absolutely delivers. Decanter Magazine describes it as ""a juicy cross between Burgundy's Volnay and Beaujolais' Morgon."" Well said!",34.79
November 2017 Newsletter,"Red Newt Cellars ""Lahoma Vineyards - The Knoll"" Finger Lakes Riesling 2014",,"['92', '95']","(7/2016) ""An extraordinary wine, this is Finger Lakes dry Riesling at its finest. The nose is an exotic combination of kefir lime, lemon candy, mint, and thyme. The palate is just as expressive as the nose, offering a perfect balance between flesh and acid-rather than one swelling as the other dwindles, they march in sync from entry through to finish. A wine of remarkable intensity and purity, the 2014 The Knoll concludes with an epic finish of tremendous mineral depth. 5 grams per liter residual sugar. Drinking window: 2016 - 2031.""",31.99
November 2017 Newsletter,"William Hill ""Benchland Series"" Napa Valley Chardonnay 2014",,"['92', '92']","(10/28/2016) ""A real knockout is the 2014 Chardonnay Benchland Series, 100% Napa Valley, coming from elevated Benchland estate vineyards, more than half of them in St. Helena and the rest farther south in Carneros. Put through partial malolactic and aged 15 months in new and used French oak (50% new and the rest used French oak), this is a much bigger wine (14.9% alcohol) and exhibits that with its almost Chablis-like minerality, striking lemon zest, orange blossom and apple-butter-like notes. It is a beauty, medium to full-bodied, refreshing, with good acidity and surprisingly little evidence of oak. This is a much smaller cuvée of only 1,500 cases. Drink now-2020.""",29.99
November 2017 Newsletter,"Argyle ""Reserve"" Willamette Valley Pinot Noir 2014",,"['93', '92']","(8/31/2017) ""Bright, pale ruby in color, the 2014 Pinot Noir Reserve delivers expressive kirsch, pomegranate and raspberry leaves notes with underlying lavender, rosemary and underbrush hints. Medium-bodied with loads of energy and grace in the mouth, it has exuberant red cherry and earth flavors with great length and depth. Drink Date: 2017 - 2023.""",29.99
November 2017 Newsletter,"Charles Ellner ""Carte Blanche"" Brut Champagne NV",Tasty bottle of Champagne. Super low price. Hard to argue with that!,['91'],"(11/15/2017) ""This lively Champagne is bright and balanced, with spicy mineral and graphite accents underscoring the poached pear, crushed black currant, toast and grated ginger notes. Crisp and lingering. Zesty finish. Drink now.""",28.99
November 2017 Newsletter,Rombauer  Carneros Merlot 2013,,['90'],"(11/2016) ""Plump and supple, with red currant and rose petal aromas and elegantly complex flavors of black cherry, mocha and spice. Drink now through 2026. 14,100 cases made.""",27.99
November 2017 Newsletter,"Green & Red ""Chiles Mill Vineyards"" Napa Valley Estate Zinfandel  2014",,"['91', '91', '92']","(2/2017) ""This wine grows at the first site Jay Heminway planted at his property in the eastern hills of Napa Valley, the vines replanted in the mid-90s after the original vineyard succumbed to phylloxera. The plant material came from Trentadue Ranch, from an old block that Ridge uses for Geyserville, so the cuttings included a bit of petite sirah, syrah, carignan, grenache and some Italian varieties. The 2014 is clean and direct in its raspberry ripeness, darkened and softened by oak aging. There's a comforting feel to the raspy fruit tannins, lasting on gentle minerality and spice. This is built for roast venison or lamb. (1,274 cases)""",27.99
November 2017 Newsletter,Ampeleia Toscana Alicante 2016,,['92'],"(11/2017) Not only does the brilliant Elisabetta Foradori produce mindblowing reds in her home zone of Trento, she also crafts delicious wines in Tuscany! This bottling is 100% Alicante (aka Grenache) sustainably, and uniquely, grown in sandy soils. With its earthy red fruit, hints of pepper and elegant mouthfeel, this offering drinks like a top Cru Beaujolais crossed with a traditionally styled Châteauneuf. Offering big flavor and a huge amount of natural energy, this is a very, very cool wine.",27.99
November 2017 Newsletter,Domaine Gachot-Monot Cotes de Nuits Villages Rouge 2014,,['91'],"(11/2017) Domaine Gachot-Monot is a tiny Burgundy grower based in Nuits St. George. Imported by Kermit Lynch, this bottling comes from 45+ year old vines grown in clay and limestone. Kermit says of this wine and owner Damien Gachot... ""Thanks to his efforts and dedication, we get a Côtes de Nuits Villages that tastes more like Nuits-St-Georges than village Burgundy."" Look for high-pitched minerality, taut red fruits and a subtly fleshy mouthfeel. This 2014 is an over-delivering effort that lovers of lighterstyle, elegant Pinot Noir will adore. To get the most out of this one, make sure to decant a few hours before serving!",25.99
November 2017 Newsletter,"Two Hands ""Sexy Beast"" McLaren Vale Cabernet Sauvignon 2015",We've just reloaded on this powerful beauty-of-a-Cabernet!,['93'],"(4/12/2017) ""Impressive, with a plush, seductive and succulent body, offering sink-your-teeth-into-them flavors of black cherry, blackberry and plum, accented by details of dark chocolate, rose petal and savory. Drink now through 2025.""",24.99
November 2017 Newsletter,"Maxime Magnon ""Rozeta"" Corbieres 2014",Median online retail is $35. We're letting this gem fly for nearly a third less!,"['92', '91']","(4/2016) ""Another winner is the 2014 Corbieres Rozeta, which checks in as a blend of 40% Carignan, and 30% each of Grenache and Cinsault. Vibrant, juicy and seamless, with lots of sweet cherry and juicy berry fruits, flowers and some walnut oil-like characteristics, this medium-bodied, beautifully balanced and unique Corbières can be enjoyed anytime over the coming 5-7 years.""",23.99
November 2017 Newsletter,Rombauer Napa Valley Sauvignon Blanc 2016,,['91'],"(11/2017) This quintessential Napa Valley Sauvignon Blanc is a relatively new addition to the Rombauer family's line-up. Produced entirely in stainless steel, it doesn't see one bit of exposure to oxygen before it is bottled; the first time the wine is ever exposed to air is when you open it! The resulting wine is literally bursting with freshness. Look for classic flavors of white peach, lemon, lime zest and just a touch of fresh cut grass. This is one VERY well made Sauvignon Blanc.",Unlisted
November 2017 Newsletter,Novy Russian River Valley Zinfandel 2015,,"['90', '91', '90']","(4/28/2017) "" Deep garnet-purple colored, the 2015 Zinfandel Russian River Valley offers expressive blackberry, black cherry and baking spice notes with a touch of licorice. Full-bodied, concentrated and purely fruited in the mouth, it has a gorgeous velvety texture and a delightful burst of blackberry flavors on the long finish. Drink Date: 2017 - 2021.""",22.99
November 2017 Newsletter,Domaine Andre et Mireille Tissot Cremant du Jura Extra Brut NV,,['91'],"(11/2017) This delicious bottling is 50% Chardonnay and 40% Pinot Noir with the local varieties of Trousseau and Poulsard making up the remaining 10%. The wine sees no dosage (the addition of sugar after the secondary fermentation) and the result is a bone dry ""extra brut"" wine with crisp and mouthwatering acidity complemented by a creamy palate. The finish is lengthy with subtle hints of nuts. This is a great substitute for Champagne if you're looking to increase value without sacrificing quality.",22.79
November 2017 Newsletter,"Alexandria Nicole ""A Squared"" Horse Heaven Hills Cabernet Sauvignon 2015",,['92'],"(11/2017) An exceptionally well-made Cabernet, the grapes for ""A Squared"" come from Alexandria Nicole's estate vineyard, Destiny Ridge, located in the Horse Heaven Hills appellation. A blend of 85% Cabernet Sauvignon, 10% Cabernet Franc, 3% Malbec and 2% Petite Verdot, it was matured for 20 months in French oak of which half was new and the other second year wood. Woody aromas along with black currant and a whiff of menthol make for a wonderful perfume. Very dense on the palate with mouthfilling flavors of black currant, black cherry and cedar. Complex with layer upon layer of flavor, great structure and refined tannins that soften quickly.",22.79
November 2017 Newsletter,"Hofgut Falkenstein ""AP Nr 14"" Krettnacher Euchariusberg Riesling Spatleese 2016",,['95'],"(6/2017) ""This delivers a delightful nose driven by freshness and elegance as notes of smoke, spices, lemongrass, basil and lemon zest emerge from the glass, enhanced by gorgeous floral nuances after some airing. The wine is driven by quite some juicy yellow peach and apricot at first, yet quickly gains in focus as a stunningly racy acidity provides structure in the very long and pure finish. Candied citrus, grapefruit, lime and spices are driving the aromatics in the after-taste. What an energetic and lively Spätlese! 2024-2036""",21.99
November 2017 Newsletter,"Hofgut Falkenstein ""AP Nr 15"" Niedermenniger Herrenberg Spatlese Feinherb Riesling 2016","This wine is completely packed with delicious, complex flavors, expressed in a barely sweet ""Feinherb"" style. Finishing with electric acidity, and only $20.99? WOW!","['92', '93']","(6/2017) ""The Estate made three different bottlings of Niedermennig Herrenberg Spätlese Feinherb in 2016. This AP15 was made from parcels on the western side of the hill, in the Gewann Grosswald, which are orientated towards the south-east. This delivers a quite intense fruit-driven aromatic with notes of yellow peach, orange and grapefruit as well as some almond. The wine is superbly juicy and creamy as a touch of peach and pear running through the palate. These mouth-coating flavors are wrapped into some delicious zesty acidity which brings focus to the finish. A touch of tartness comes through in the succulent after-taste. This is a beauty in the making. 2020-2031""",20.99
November 2017 Newsletter,Powerhouse California Red 2015,,['91'],"(10/2017) A blend of 65% Cabernet Sauvignon and equal parts Grenache and Petit Verdot, the 2015 Powerhouse delivers a massively viscous mouth experience. The wine drips of blackberry and cassis flavors, with a slight suggestion of green herbs and Rhône-like red fruits, including raspberry concentrate and strawberry coulis. Vailia produced only 120 cases, and we bought them all. While most of her wines sell for $35-$45, we're thrilled to bring the 2015 Powerhouse - made from excess juice from her other projects - to you for just $19.99 per bottle!",19.99
November 2017 Newsletter,Roederer Estate Anderson Valley Brut NV,This longtime Vin Chicago favorite just received its highest-ever rating from Wine Spectator!,['92'],"(8/31/2017) ""A voluptuous and expressive sparkler, with floral red apple, brioche and cinnamon spice aromas and rich, vibrant flavors that finish on a luxurious note. Drink now through 2018.""",19.99
November 2017 Newsletter,"Hofgut Falkenstein ""AP Nr 12"" Krettnacher Euchariusberg Riesling Kabinett 2016",,['94'],"(6/2017) ""The Estate produced two fruity-styled Kabinett from the Euchariusberg in addition to a cask labelled as Alte Reben. This AP12 comes from a parcel in the prime Gross Schock sector of the vineyard which was classified in the highest category on the old taxation maps. This [woos] one with complex and refined scents of bergamot, white peach, ginger cream, almond, candied grapefruit and mint on the nose; The wine proves remarkably juicy, refined, crystalline and airy on the palate and leaves a delicious mouth-watering feel in the smoky, spicy and slate-infused finish. What a brilliant Kabinett! 2024-2036""",19.99
November 2017 Newsletter,Collemattoni Rosso di Montalcino 2015,,"['90-91', '94']","""Pale ruby shade. Floral Sangiovese nose. Firmly structured on the palate with tight-knit natural tannins, precise fruit and a long grippy finish. Nervy thoroughbred. Drinking Window 2017 - 2020.""",19.99
November 2017 Newsletter,Chateau Brillette Moulis 2010,A spectacular buy from Bordeaux's blockbuster 2010 vintage!,"['90', '90']","(2/27/2013) ""Another superb over-achiever from the appellation of Moulis in the Medoc, this wine, a blend of 48% Merlot, 40% Cabernet Sauvignon and the rest Cabernet Franc and Petit Verdot, shows lots of licorice, barbecue smoke, charcuterie, plum and black currants. It hits the palate with a medium to fullbodied opulence. The tannins are sweet and the acidity adequate to provide definition and vibrancy. This is a beauty. An outstanding effort from proprietors, the Flageul family.""",19.99
November 2017 Newsletter,"Bouchie-Chatellier ""Argile a S"" Pouilly Fume 2016",,['90'],"(10/2017) A deliciously fresh and likeable Sauvignon Blanc from the Pouilly-Fumé region. Grapefruit aromas on the nose are followed by a completely dry, round and textured palate with exotic flavors of guava and nectarine. Good stuff!",19.79
November 2017 Newsletter,"Bisol ""Crede"" Valdobiadene Brut Prosecco Superiore 2015",,['91'],"(11/2016) ""Pale straw. Crisp aromas and flavors of green apple, nectarine and jasmine have a noteworthy mineral edge. Finishes long and bright, with memorable focus and purity. Delightful Prosecco Brut; I have long believed Crede to be one of the best Brut Proseccos made by anyone. Interestingly it is not 100% Glera but mixes in a touch of Pinot Bianco and of Perera. Even though the vintage is not cleary indicated on the front label, this wine is made with grapes picked in the 2015 harvest.""",18.99
November 2017 Newsletter,"La Rioja Alta ""Vina Alberdi"" Rioja Reserva 2011",,"['92', '94']","(7/24/2017) ""A classic and tightly knit Rioja with dried berry, spice and cedar character on the nose and palate. Medium body, very fine tannins and a flavorful finish. Acidity carries the wine and then the tannins. Gorgeous. Drink now.""",18.99
November 2017 Newsletter,Chateau d'Epire Savennieres 2015,,"['91', '93']","(10/31/2017) ""Shows lovely purity, with a mix of mirabelle plum, yellow apple and white peach flavors that are brightly defined as they race through the mineral- and verbenaaccented finish. Has cut and drive. Drink now through 2030. 553 cases imported.""",18.99
November 2017 Newsletter,"Mer Soleil ""Silver"" Monterey County Unoaked Chardonnay 2015",,['90'],"(11/2017) The mouth filling, unoaked Chardonnay in the unusual cement-looking bottle is back with what might be its best vintage to date! Though the wine sees no oak, it is velvety rich with a balancing brightness. The flavors of candied apple and Creamsicle cover the palate so intensely that you won't even need to eat the food - just drink the wine! A solid effort from the Wagner family of Caymus fame.",Unlisted
November 2017 Newsletter,Champalou Vouvray Sec 2016,,['90'],"(9/2017) We are loving the 2016 Loire Valley whites! Richly textured with excellent cut and mineral tension, the 2016 Champalou is an absolutely delicious bottle of wine. Classic ""Pineau de la Loire"" (the local name for Chenin Blanc) flavors of white peach, bruised green apple, button mushroom and chalky wet wool round out this high pitched, nervy, dry and quite wonderful white.",17.99
November 2017 Newsletter,"Wonderwall ""Spanish Springs Vineyard"" Edna Valley Pinot Noir 2016",,['91'],"(11/2017) The latest release of Wonderwall Pinot Noir is here, and it just may be the best bottling yet! Checking in at a modest 12.9% ABV, the 2016 Wonderwall is all about balance and finesse. The fruit is rich with plenty of ripe cherries and dried strawberries leading the way. It is layered with notes of cola, clove, earth, spice and a touch of leather. The finish is long and delicious, enticing you back for sip after sip. We are unaware of any other sub-$20 California Pinot Noir with this level of depth, flavor and complexity. Overall, a smokin' value!",17.99
November 2017 Newsletter,Smith & Hook Cental Coast Cabernet Sauvignon 2015,,"['91', '93']","(11/1/2017) ""This is a big but balanced expression of Cabernet that is ready to drink now. Layers of black cherry, caramel, vanilla, smoke and crushed black rocks show on the lavish nose. The palate's chalky texture is immediately apparent, with vibrant acidity that carries forth a rich crème de cassis flavor and finishes on roasted coffee and milk chocolate. Editors' Choice.""",Unlisted
November 2017 Newsletter,"Michele Satta ""Costa di Giulia"" Bolgheri Bianco 2015",,"['92', '90', '91']","(7/2016) ""The 2015 Costa di Giulia, Michele Satta's Vermentino/Sauvignon Blanc white blend, is gorgeous. Rich, ample and beautifully layered in the glass, the 2015 delivers superb flavor intensity with no heaviness. Apricot, peach, jasmine and mint are pushed forward. This is a remarkably vivid, pure white from the Tuscan coast.""",17.99
November 2017 Newsletter,"Day Wines ""Vin de Days Blanc"" Willamette Valley White Blend 2016",,['90'],"(10/2017) One of the newest additions to Brianne Day's family of wines is the ""Vin de Days Blanc,"" an Alsatian inspired blend of 42% Pinot Blanc, 16% Pinot Gris, 16% Riesling, 14% Muller Thurgau and 11% Muscat. This enticing white was sourced from a number of organically and biodynamically farmed vineyards throughout the Willamette. (If you haven't noticed yet, Brianne highly values those who practice thoughtful farming methods in the vineyards!) The texture of this wonderfully balanced wine is supple, round and energized by zesty acidity. The aromas are reminiscent of springtime, with delicate floral tones backed by fresh peach and stone fruits with a small dollop of lemon cream. Exceptionally versatile, it will work well with anything from fresh salads and roasted chicken to more classic Alsatian pairings such as Fammekueche, a traditional onion tart. It will even stand up to Strasbourg sausages or Frankfurters from Paulina Meat Market!",17.99
November 2017 Newsletter,"90+ Cellars ""Lot 148"" Alexander Valley Cabernet Sauvignon 2016",,['90'],"(11/2017) The folks at 90+ Cellars have a big time winner on their hands with this classic Cabernet Sauvignon from Sonoma's Alexander Valley. The flavors are lush, dense and juicy with dark raspberry, black cherry and blackberry fruits mixed with green olive, cedar, mocha, dried herbs and pepper. This youthful, exuberant, nearly full-bodied California Cabernet sells for $35 at the undisclosed winery that it hails from. You can grab it from us for just about half that amount. A very serious wine for the price.",17.99
November 2017 Newsletter,Domaine Palon Gigondas 2015,This crazy-value Gigondas is back in stock. Stock up before it's gone for good!,"['90', '91']","(3/2017) From the outrageously good 2015 vintage, this beauty tastes a heck of a lot more expensive than $18! The wine blends 75% Grenache with 15% Syrah and 10% Mourvedre from a property neighboring famed Gigondas grower Santa Duc. A special find at this price, the 2015 Palon is drinking great now and will continue to do so for the next 5-10 years.",17.99
November 2017 Newsletter,"Maysara ""3 Degrees"" McMinnville Pinot Noir 2015",,['91'],"(9/30/2017) ""Lithe and vibrant, with expressive rose petal and black cherry aromas and spirited red plum and orange tea flavors. Drink now. 3,000 cases made.""",17.99
November 2017 Newsletter,Tenuta delle Terre Nere Etna Rosso 2015,"Pure, crisp, balanced and enticingly tongue-tickling - a real beauty here from the side of Mount Etna. If you love old school Pinot Noir or Beaujolais, don't miss this one!","['95', '90', '90']","(8/31/2017) ""The 2015 Etna Rosso is mostly Nerello Mascalese with some Nerello Mantellato. Old vines range from 40 to 140 years in age. This is the estate's blended red. It does not see fruit selected from a single Contrada. Instead, this wine offers a panoramic expression with fruit from various sites, soil types and altitudes. The wine displays a moderate ruby hue and offers mild aromatic intensity. You get wild berry, ash and dried rose petal, but the delivery is subdued and understated. The mouthfeel is polished and tight.""",17.99
November 2017 Newsletter,La Crema Monterey Pinot Noir 2015,,[''],"""Aromas of black plum, cherry, rhubarb and hints of earth and loam. Flavors of red plum, raspberry and blood orange are underpinned by distinctive river stone minerality and savory umami character. Plush and richly textured with juicy, yet balanced acidity and integrated toasty barrel spice. Try Italian sausage with peppers and onions, mushroom risotto, or anything with gruyere. A simple grilled chicken or fish is sublime with this wine.""",16.99
November 2017 Newsletter,Meiomi Monterey/Santa Barbara/Sonoma Pinot Noir 2016,,['88'],"(11/1/2017) ""This bottling blends 60% Monterey County, 23% Santa Barbara County and 17% Sonoma County fruit to deliver bright and juicy berries on the nose, from strawberry to blackberry as well as graphite and tree bark. The flavors are very full, with more berries and star anise, although the texture is somewhat simple.""",16.99
November 2017 Newsletter,"Domaine Rene Mure ""Signature"" Alsace Gewurztraminer 2014","Nice and dry with incredible texture. One taste and you'll know why Gewurtraminer was once known as ""the red wine drinkers white wine of choice.""","['91', '92']","(12/2015) ""Earth and roses, lemon zest and orange flesh: these are the contrasts of this refreshing, toned but textured Gewurztraminer that shows the full weight of its rose perfume on the palate. Its dryness underlines earth rather than fruit, but has no less charm for that. On the contrary: the lingering aftertaste leaves a lasting impression.""",16.99
November 2017 Newsletter,"Field Recordings ""Fiction"" Paso Robles Red 2015",,['91'],"(4/2017) Without a doubt, this is the most absolutely delicious edition of Fiction yet! A blend of 48% Zinfandel, 15% Syrah, 14% Mourvedre, 8% Graciano and 8% Cabernet Sauvignon with small amounts of Touriga Nacional and Carignan, the 2015 Fiction perfectly balances sweet fruit ripeness with excellent tension and superb mouth feel. Comparable in quality to most good $25 blends, this wine gets better every year. Equally delightful to drink on its own or with food, it is one of the best red blend values produced in all of California.",16.79
November 2017 Newsletter,"Domaine Sigalas ""Aa"" Santorini Assyrtiko/Athiri  2016","Wine Advocate awards 92 points to this excpetionally lively 75/25 blend of Assyrtiko and Athiri from the remote island of Santorini. In their way-too-long-to-fit-in-our-newsletter review, they suggest a drinking window extending from 2017 - 2024. Having tasted many vintages of this wine, including new releases at our store and older vintages at the winery, we completely agree. A tremendous value here for those who appreciate well-crafted, mineral-driven whites. Visit vinchicago.com for Wine Advocate's tasting notes.",[],"(4/2017) Without a doubt, this is the most absolutely delicious edition of Fiction yet! A blend of 48% Zinfandel, 15% Syrah, 14% Mourvedre, 8% Graciano and 8% Cabernet Sauvignon with small amounts of Touriga Nacional and Carignan, the 2015 Fiction perfectly balances sweet fruit ripeness with excellent tension and superb mouth feel. Comparable in quality to most good $25 blends, this wine gets better every year. Equally delightful to drink on its own or with food, it is one of the best red blend values produced in all of California.",16.79
November 2017 Newsletter,"Arnaldo-Caprai ""Grecante"" Colli Martani Grechetto 2015","This crisp, delicious ""Top 100"" winner is back in stock!","['90', '90']","(8/31/2016) ""Thai basil and spice notes lace the creamy mix of Asian pear, white peach, stone and lemon zest in this well-knit white. Light- to medium-bodied and fresh, with a lingering, savory finish. Drink now through 2020.""",16.79
November 2017 Newsletter,"Talley ""Bishop's Peak"" San Luis Obispo County Pinot Noir 2015",,"['91', '90']","(9/29/2017) ""The 2015 Bishop's Peak Pinot Noir displays a pale to medium ruby-purple color and notes of kirsch, cranberry sauce and raspberry tart with a waft of underbrush. Medium-bodied and giving a great intensity of red berry preserves and earthy flavors, it has a chewy texture and refreshing finish. Great value!""",15.99
November 2017 Newsletter,"First Drop ""Mother's Milk"" Barossa Valley Shiraz 2015",,['92'],"(6/30/2017) ""Juicy and vivid, bursting with cherry and cranberry flavors that are smooth and generous. Hints of vanilla and mocha smooth out the details, finishing supple and creamy. Drink now through 2028.""",15.99
November 2017 Newsletter,Castello di Volpaia Chianti Classico 2015,,['92'],"(11/30/2017) ""This juicy red has grip, setting the backdrop for pure cherry, blueberry, earth, iron and tobacco flavors. Though light-weight, this should develop over the next three to five years. Best from 2019 through 2024.""",15.99
November 2017 Newsletter,Ritual Casablanca Valley Pinot Noir 2015,,"['93', '90']","(10/2016) ""(Made with 30 percent whole clusters and 20 percent new French oak) Deep red. Sexy, expansive aromas of raspberry liqueur, candied lavender and cola; a spicy nuance adds vivacity. Sweet, seamless and focused on the palate, offering sharply delineated red berry, blood orange and rose pastille flavors that deepen on the back half. Repeats the spicy note on a long, red-fruit-dominated finish that's framed by gentle, slow-building tannins.""",15.79
November 2017 Newsletter,"90+ Cellars ""Lot 145"" McMinnville Willamette Valley Pinot Noir 2015",,['89-90'],"(10/2017) McMinnville Pinot Noir for $15.79? Yep. The 90+ guys have done it again, this time delivering a light and fresh Oregon Pinot with plenty of tasty authenticity. Vibrant raspberry and strawberry fruits are backed by green herbs, tomato leaf and red earth. Despite the nervy brightness, the wine gives warmth and texture. A solid bottle of Pinot at very good price.",15.79
November 2017 Newsletter,Honig Napa Valley Sauvignon Blanc 2016,New vintage of this Vin Chicago favorite!,['89'],"(5/31/2017) ""Grapefruit, lime and lemon zest flavors are crisp and elegant, with a pretty note of chamomile on the finish. Drink now.""",14.99
November 2017 Newsletter,"Bogle ""Phantom"" Red 2014",,['90'],"(9/27/2017) ""Violet color. Fruity aromas and flavors of chocolate raisins, butter-roasted nuts, hint of crispy bacon, and delicate spices and cola with a silky, bright, dry-yet-fruity medium body and a smooth, medium-long cherry gastrique and sesame seeds finish with silky, dusty tannins and light oak. A tasty and well-balanced red that is sure to please.""",14.99
November 2017 Newsletter,Peter Zemmer Alto Adige Pinot Grigio 2016,,['90'],"(11/2017) For longtime Vin Chicago fans, this one is a blast from the past. The Zemmer Pinot Grigio had a long history with us from around 1990 until the early 2000s - always offering great quality at an affordable price. We had not seen the label in a while, and now it is back and better than we ever remembered!",13.99
November 2017 Newsletter,"Pecchenino ""San Luigi"" Dogliani Dolcetto 2016",,"['90', '91', '90']","(8/31/2017) ""This is the perfect wine to serve when you are making homemade pizzas or barbecuing in the backyard. The 2016 Dogliani San Luigi is packed tight with red fruit intensity and a robust mouthfeel that wraps thickly over the palate. Dolcetto is a very versatile grape with an authentic Italian personality. Drink Date 2017 - 2019.""",13.99
November 2017 Newsletter,"Domaine Lafage ""Miraflors"" Cotes du Roussillon Rose 2016",,"['91', '90']","(4/2017) Jean-Marc Lafage is an absolute wizard with Rosé and this 2016 hits all the right notes. Blending Mourvedre with Grenache Gris, Miraflors offers plenty of yummy red fruits while maintaining a super-fresh palate. Look for flavors of watermelon, ruby red grapefruit, sour cherry and pomegranate to put a huge smile on your face. The finish is long and oh-so-refreshing. Grab a case and enjoy.",13.99
